"","DATE","CHI003","CHI004","CHI005","CHI007","CHI008","CHI009","CHI010","CHI011","CHI013","CHI014","CHI015","CHI018","CHI019","CHI020","CHI021","CHI022","CHI023","CHI024","CHI025","CHI026","CHI027","CHI028","CHI029","CHI030","CHI031","CHI032","CHI033","CHI034","CHI035","CHI036","CHI039","CHI040","CHI041","CHI042","CHI043","CHI044","CHI045","CHI048","CHI049","CHI050","CHI051","CHI055","CHI056","CHI057","CHI058","CHI059","CHI060","CHI061","CHI062","CHI063","CHI064","CHI065","CHI066","CHI067","CHI068","CHI069","CHI070","CHI071","CHI072","CHI073","CHI074","CHI075","CHI076","CHI077","CHI078","CHI079","CHI080","CHI083","CHI086","CHI087","CHI088","CHI089","CHI090","CHI091","CHI092","CHI093","CHI094","CHI095","CHI096","CHI097","CHI098","CHI099","CHI100","CHI101","CHI102","CHI103","CHI104","CHI105","CHI106","CHI107","CHI108","CHI109","CHI110","CHI111","CHI112","CHI113","CHI114","CHI115","CHI116","CHI117","CHI118","CHI119","CHI120","CHI121","CHI122","CHI123","CHI124","CHI125","CHI126","CHI127","CHI128","CHI129","CHI130","CHI131","CHI132","CHI133","CHI134","CHI135","CHI136","CHI137","CHI138","CHI139","CHI140","CHI141","CHI142","CHI143","CHI144","CHI145","CHI146","CHI147","CHI148","CHI149","CHI154","CHI156","CHI157","CHI158","CHI159","CHI160","CHI161","CHI162","CHI163","CHI164","CHI165","CHI166","CHI167","CHI168","CHI169","CHI170","CHI171","CHI172"
"21",2014-07-21,103,71,41,19,23,47,84,23,60,66,44,66,36,NA,169,NA,NA,74,10,20,39,111,212,75,194,70,18,6,NA,8,22,31,100,35,64,NA,167,47,30,45,75,33,NA,4,84,NA,NA,NA,NA,84,NA,NA,NA,NA,21,16,21,95,20,18,67,26,24,21,2,89,57,63,6,5,14,6,22,45,10,44,18,124,3,1,11,20,48,7,27,4,NA,NA,NA,75,139,90,NA,NA,NA,NA,NA,NA,NA,4,15,105,185,108,26,17,12,49,3,NA,NA,NA,6,NA,NA,NA,NA,NA,12,2,43,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2014-07-22,107,51,42,14,16,56,77,8,72,84,28,43,33,NA,206,NA,NA,68,4,36,32,185,245,50,180,73,25,5,NA,8,32,23,80,115,51,NA,176,39,19,58,72,41,1,1,91,NA,NA,NA,NA,75,NA,NA,NA,NA,21,12,19,100,36,31,78,19,28,21,2,103,68,67,10,9,22,5,34,62,10,50,22,106,1,NA,10,12,40,2,30,4,NA,NA,NA,74,151,50,NA,NA,NA,NA,NA,NA,NA,5,19,99,170,100,23,12,12,48,2,NA,NA,NA,1,NA,NA,NA,NA,NA,14,8,34,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2014-07-23,83,56,35,12,15,56,78,16,56,70,24,45,81,6,170,NA,NA,63,12,23,45,209,225,55,190,59,11,1,NA,9,16,28,75,98,67,NA,221,38,19,50,70,28,2,2,98,NA,NA,NA,NA,119,NA,NA,NA,NA,6,16,27,108,48,32,81,18,42,30,5,106,50,64,2,6,34,7,24,54,12,39,27,108,6,1,6,13,50,3,38,4,NA,NA,NA,74,165,67,NA,NA,NA,NA,NA,NA,NA,6,22,99,205,94,21,16,18,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,38,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2014-07-24,111,66,38,20,17,73,76,14,45,68,23,49,82,7,219,NA,NA,81,14,14,56,185,267,NA,NA,NA,6,7,NA,8,29,25,96,81,44,NA,137,31,16,70,76,29,2,5,138,NA,NA,NA,NA,90,NA,NA,NA,NA,13,11,22,79,32,22,56,30,51,29,2,133,79,67,6,9,17,11,20,62,6,45,24,141,2,NA,8,15,59,3,45,6,NA,NA,NA,93,205,50,NA,NA,NA,NA,NA,NA,NA,4,15,111,195,111,26,24,10,64,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,6,40,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2014-07-25,81,72,35,15,16,58,84,19,53,81,22,51,83,7,166,NA,NA,58,10,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,8,19,28,4,23,8,NA,213,NA,17,62,80,39,NA,7,94,NA,NA,NA,NA,91,NA,NA,NA,NA,12,14,20,47,24,28,68,32,46,33,2,133,53,63,4,12,28,5,18,52,6,62,19,83,4,NA,NA,NA,NA,5,12,1,NA,NA,NA,54,166,71,NA,NA,NA,NA,NA,NA,NA,4,9,110,190,93,27,11,11,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,7,36,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2014-07-26,142,62,33,26,11,90,101,28,97,95,22,76,73,16,175,NA,NA,87,19,NA,NA,NA,197,NA,NA,NA,NA,NA,NA,12,19,14,NA,NA,NA,NA,250,NA,31,96,76,41,3,2,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,22,32,NA,NA,NA,NA,18,47,40,5,155,60,91,6,NA,NA,NA,31,77,11,78,30,111,1,1,NA,NA,NA,13,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,107,229,101,26,31,7,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2014-07-27,146,44,34,18,15,69,92,21,95,93,25,82,49,8,205,NA,NA,106,6,NA,NA,NA,214,NA,NA,NA,NA,NA,NA,15,22,26,NA,NA,NA,NA,246,NA,31,113,50,52,4,7,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,21,27,NA,NA,NA,NA,48,54,32,9,126,72,84,5,NA,NA,NA,41,75,23,87,53,104,3,1,NA,NA,NA,12,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,105,238,97,25,18,8,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2014-07-28,100,54,41,36,16,65,78,16,61,83,26,40,74,8,150,NA,NA,97,5,33,43,187,228,NA,NA,NA,41,7,NA,6,20,21,75,60,41,NA,166,37,28,61,43,23,1,5,96,NA,NA,NA,NA,52,NA,NA,NA,NA,6,18,27,56,36,35,63,31,30,22,4,110,58,72,3,11,14,8,26,52,15,50,18,101,2,NA,6,11,47,9,44,1,NA,NA,NA,76,130,53,NA,NA,NA,NA,NA,NA,NA,5,20,104,170,103,20,15,16,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,41,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2014-07-29,98,55,46,51,23,61,68,17,46,61,16,49,75,7,187,NA,NA,51,13,4,35,133,202,NA,NA,NA,38,10,NA,7,26,21,56,48,28,NA,147,34,15,45,54,26,NA,3,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,25,NA,NA,NA,NA,35,42,39,3,109,46,61,4,NA,NA,NA,21,36,10,48,26,101,1,NA,4,15,43,6,44,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,107,157,87,27,13,2,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2014-07-30,95,50,31,45,15,56,66,21,47,61,28,40,85,16,184,NA,NA,63,5,19,44,72,240,NA,NA,NA,16,18,NA,8,17,21,79,57,43,NA,172,44,21,59,63,29,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,21,21,NA,NA,NA,NA,28,26,27,1,118,51,69,4,NA,NA,NA,22,65,10,57,7,119,3,NA,3,16,69,10,31,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16,82,167,101,24,22,10,27,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
